Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Rheinland-Pfalz;Mainz;3902;Mainz-Gonsenheim;FMGO;6;An der Ochsenwiese 12;55124;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;49.9977095215982;8.21429915066008
Hessen;Darmstadt;4226;Höchst Mümling-Grumbach;FMGR;6;Im Wolfsgrund 2;64739;Höchst-Odenwald;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.7720656230847;8.98569885460405
Hessen;Frankfurt a. M.;4210;Mühlheim (Main);FMH;4;Bahnhofstr. 81;63165;Mühlheim (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1192309314471;8.83817374706268
Hessen;Frankfurt a. M.;7168;Mühlheim-Dietesheim;FMHD;5;Alfred Delp Str. 40;63165;Mühlheim-Dietesheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1204645934781;8.85854959487915
Hessen;Kassel;4161;Espenau-Mönchehof;FMHF;5;Bahnhofstr. 39;34314;Espenau-Mönchehof;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.3906698092518;9.45591435518357
Hessen;Kurhessenbahn (KHB);4272;Münchhausen;FMHN;6;;;;Rhein-Main-Verkehrsverbund;RMV;nein;ja;50.9636846264037;8.71743831394269
Hessen;Darmstadt;4098;Michelstadt;FMI;6;Hulsterstr. 2;64720;Michelstadt;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.6850163490344;9.00161372805104
Hessen;Frankfurt a. M.;3904;Mainz-Kastel;FMK;4;Eisenbahnstr. 7;55252;Wiesbaden;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.007313805506;8.28205436468125
Rheinland-Pfalz;Mainz;3905;Mainz-Laubenheim;FML;5;Oppenheimer Str.;55130;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;49.9611919267106;8.31415772438049
Hessen;Gießen;4040;Melbach;FMLB;6;Erbsengasse 18;61200;Wölfersheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.3789129256545;8.81152510643004
Hessen;Kassel;4050;Melsungen;FMLS;6;Bahnhofstr. 2;34212;Melsungen;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.1260465551589;9.54623921829112
Rheinland-Pfalz;Mainz;3907;Mainz-Mombach;FMM;6;Quellenstr. 20 a;55120;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;50.0227178843809;8.22972847216287
Rheinland-Pfalz;Mainz;3906;Mainz-Marienborn;FMMB;7;Achardstraße 1;55127;Mainz-Marienborn;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;49.9604422803241;8.22287671970871
Rheinland-Pfalz;Mainz;3899;Mainz Nord;FMN;6;Rheinallee 160;55120;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;50.0203212035389;8.24714630842209
Rheinland-Pfalz;Mainz;3900;Mainz Römisches Theater;FMS;3;Holzhofstr. 1a;55116;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;nein;ja;49.9933390317499;8.27828736975788
Rheinland-Pfalz;Mainz;4168;Monsheim;FMSH;5;Bahnhofstr. 28;67590;Monsheim;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;0;nein;ja;49.633332257133;8.20846858231917
Rheinland-Pfalz;Koblenz;4169;Montabaur;FMT;4;Staudter Str. 1;56410;Montabaur;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;VRM;ja;ja;50.4447747775442;7.82525226473808
Hessen;Darmstadt;4278;Münster (b Dieburg);FMTR;6;Bahnhofsplatz 5;64838;Münster;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9235018490415;8.85367705271794
Hessen;Frankfurt a. M.;1851;Frankfurt (Main) Mühlberg;FMUL;4;Offenbacher Landstr. 27;60599;Frankfurt am Main;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1018141533868;8.7008797178174
Rheinland-Pfalz;Mainz;3898;Mainz Hbf;FMZ;2;Bahnhofplatz 1;55116;Mainz;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RMV;ja;ja;50.0012846247845;8.25858592987061
Rheinland-Pfalz;Mainz;4293;Nackenheim;FNAC;6;Mainzer Straße 71;55299;Nackenheim;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;VRN;nein;ja;49.9191552255529;8.34166556596756
Rheinland-Pfalz;Koblenz;4302;Nassau (Lahn);FNAS;5;Bahnhofsplatz 1;56377;Nassau ;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.3115583738091;7.80084818601608
