Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Hamburg;Hamburg;2517;Hamburg-Altona;AA;1;Scheel-Plessen-Str. 17;22765;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.5537770753625;9.93518114089966
Niedersachsen;Hamburg;20;Agathenburg;AABG;6;Bahnhofstr. 7 ;21684;Agathenburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.5641189843671;9.53117609024047
Schleswig-Holstein;Schleswig-Holstein;7225;Achterwehr;AACW;7;Dorfstraße;24239;Achterwehr;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;nein;54.3150796556221;9.964337348938
Schleswig-Holstein;Schleswig-Holstein;191;Ascheberg (Holst);AAG;5;Bahnhofstr.8;24326;Ascheberg (Holstein);LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;54.1485526980137;10.3402257760366
Schleswig-Holstein;Hamburg;229;Aumühle;AAH;4;Bahnhofstr. 1;21521;Aumühle;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.5299230988564;10.314471244812
Schleswig-Holstein;Schleswig-Holstein;8169;Ahrensburg-Gartenholz;AAHG;5;;22926;Ahrensburg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.6887446767122;10.2518400996924
Schleswig-Holstein;Schleswig-Holstein;27;Ahrensburg;AAHR;4;Bahnhofstr. 13;22926;Ahrensburg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.6689830976172;10.2357843518257
Hamburg;Hamburg;2458;Hamburg Airport (Flughafen);AAI;4;Flughafenstraße 1;23335;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.6325966939971;10.0066655874252
Schleswig-Holstein;Schleswig-Holstein;41;Albersdorf;AAL;7;Bahnhofstr. 1;25767;Albersdorf;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1461697552048;9.29245591163636
Hamburg;Hamburg;7979;Allermöhe;AALH;4;Fleetplatz 1;21035;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.4903416179024;10.159109747827
Niedersachsen;Hamburg;195;Ashausen;AASN;6;An der Bahn 1;21435;Stelle;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.3688293408431;10.1453304290772
Schleswig-Holstein;Schleswig-Holstein;97;Altengörs;AAT;7;Bahnhofstr.30;23818;Neuengörs;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.8991126887609;10.3551244735718
Schleswig-Holstein;Schleswig-Holstein;2996;Aukrug;AAU;7;Bahnhofstraße 1;24613;Aukrug;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.0824331045842;9.78577226400375
Hamburg;Hamburg;78;Alte Wöhr;AAW;4;Alte Wöhr 20;22307;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.598068505425;10.0352954864502
Hamburg;Hamburg;687;Blankenese;AB;3;Erik-Blumenfeld-Platz 29;22587;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.56450003427;9.81522631645203
Niedersachsen;Hamburg;402;Bardowick;ABAD;6;Bahnhofstraße;21357;Bardowick;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.2902865216017;10.372284142499
Schleswig-Holstein;Schleswig-Holstein;408;Bargteheide;ABAE;4;Bahnhofstr. 9;22941;Bargteheide;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.7281019717352;10.2689312447712
Hamburg;Hamburg;376;Bahrenfeld;ABAF;4;Hegarstr. 1;22761;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5600723108243;9.91109297825743
Hamburg;Hamburg;412;Barmbek;ABAP;4;Fuhlsbüttler Str. 91;22305;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5873185993071;10.0447023842541
Schleswig-Holstein;Schleswig-Holstein;929;Büchen;ABCH;3;Lauenburger Str.;21514;Büchen;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;ja;ja;53.4751988135128;10.6229111552238
Schleswig-Holstein;Schleswig-Holstein;470;Beldorf;ABE;7;Bahnhofsweg 1;25557;Beldorf;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1252517730231;9.35637785542399
Niedersachsen;Hamburg;433;Bavendorf;ABF;7;An der Kreisstraße / OT Bavendorf;21401;Thomasburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.1875283301584;10.6292474269867
Hamburg;Hamburg;2518;Hamburg-Bergedorf;ABG;3;Weidenbaumsweg 14;21029;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.4896041588788;10.2059054374695
Schleswig-Holstein;Schleswig-Holstein;521;Beringstedt;ABGS;7;Am Bahnhof 7;25575;Beringstedt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1136809398786;9.53769473457385
Niedersachsen;Braunschweig;625;Bienenbüttel;ABIL;5;Bahnhofstr.1;29553;Bienenbüttel;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.1423531825434;10.4842382669449
Niedersachsen;Bremen Hbf;941;Buchholz (Nordheide);ABLZ;3;Bahnhofstr. 1;21244;Buchholz i.d.Nordheide;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.3245291682443;9.87567863294057
Schleswig-Holstein;Schleswig-Holstein;976;Burg (Dithm);ABR;6;Am Bahnhof 1;25712;Burg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.0079430350472;9.24983528116554
Schleswig-Holstein;Schleswig-Holstein;8295;Bredenbek;ABRB;7;Rolfshömer Weg;24796;Bredenbek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;nein;54.3150597971543;9.86709904212218
Schleswig-Holstein;Schleswig-Holstein;778;Bordesholm;ABRD;5;Mühlenstr. 2;24582;Bordesholm;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1744311676635;10.0438597798347
Schleswig-Holstein;Schleswig-Holstein;895;Brokstedt;ABRS;6;Osterfeld 1;24616;Brokstedt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;53.9904042833646;9.8244057203594
Schleswig-Holstein;Schleswig-Holstein;1008;Büsum;ABSM;6;Heider Str. 20;25761;Büsum;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1339086822718;8.86698203085871
Schleswig-Holstein;Schleswig-Holstein;842;Bredstedt;ABST;4;Eisenbahnstr. 4;25821;Bredstedt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.6212678623798;8.97024393081665
Hamburg;Hamburg;569;Berliner Tor;ABTS;3;Berliner Tordamm 10;22099;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5526749492171;10.0248500704765
Niedersachsen;Bremen Hbf;1006;Büsenbachtal;ABUS;7;Am Büsenbach 16l;21256;Handeloh-Wörme;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.2696408343905;9.85862642526626
Niedersachsen;Braunschweig;253;Bad Bevensen;ABVS;5;Am Bahnhof 1;29549;Bad Bevensen;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;ja;ja;53.0785010717666;10.5739164963912
Hamburg;Hamburg;644;Billwerder-Moorfleet;ABWM;5;Alter Landweg 44;22113;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5158687072034;10.0962924957275
Niedersachsen;Hamburg;1015;Buxtehude;ABX;3;Am Bundesbahnhof 1;21614;Buxtehude;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.4705377829137;9.68748257528204
Niedersachsen;Bremen Hbf;1016;Cadenberge;ACD;6;Bahnhofstr. 41;21781;Cadenberge;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.7679696659772;9.05846893787384
Niedersachsen;Bremen Hbf;1095;Cuxhaven;ACV;5;Am Bahnhof 1;27472;Cuxhaven;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.8602675805384;8.7046436200271
Niedersachsen;Hamburg;1121;Dannenberg Ost;ADB;7;Am Bahnhof 1;29451;Dannenberg;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.1049987575893;11.1175056298574
Hamburg;Hamburg;2513;Hamburg Dammtor;ADF;2;Dag-Hammarskjöld-Platz 15;20354;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.5610880923059;9.98930007219314
Schleswig-Holstein;Schleswig-Holstein;1136;Dauenhof;ADH;6;Bahnhofstr. 23;25364;Westerhorn;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.8525698323152;9.68069464345522
Niedersachsen;Hamburg;1107;Dahlenburg;ADL;6;Bahnhofsweg 3;21368;Dahlenburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.1693313574737;10.7089489009751
Niedersachsen;Bremen Hbf;1330;Dorum (Kr Cuxhaven);ADO;6;Bahnhofstr. 1;27632;Dorum;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.6890620763342;8.57593059539796
Niedersachsen;Hamburg;1255;Dollern;ADR;6;Am Bahnhof 1;21739;Dollern;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.545372572023;9.55806344747543
Hamburg;Hamburg;1193;Diebsteich;ADT;5;Plöner Stieg;22769;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5688778262138;9.93423146009444
Schleswig-Holstein;Schleswig-Holstein;1457;Eckernförde;AEC;5;Reeperbahn 54-58;24340;Eckernförde;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.4678615980143;9.83489513397216
Niedersachsen;Hamburg;1449;Echem;AECH;6;Dorfstraße;21379;Echem;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.3369796621605;10.5372047424316
Schleswig-Holstein;Schleswig-Holstein;1521;Einfeld;AEF;6;Einfelder Schanze 3;24536;Neumünster;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1299270366458;9.9984752306019
Hamburg;Hamburg;1542;Elbgaustraße;AEGS;4;Elbgaustr.  105;22523;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.6027493949755;9.89331722259521
Schleswig-Holstein;Schleswig-Holstein;1558;Elmshorn;AEL;3;Holstenplatz 11;25335;Elmshorn;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;ja;ja;53.7540211346925;9.65936869382859
Hamburg;Hamburg;1511;Eidelstedt;AEST;3;Reichsbahnstr. 101;22525;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5956739069923;9.90737144763654
Schleswig-Holstein;Schleswig-Holstein;1736;Eutin;AEU;5;Elisabethstraße 20;23701;Eutin;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;54.1355954277104;10.6097120046616
Schleswig-Holstein;Schleswig-Holstein;1810;Flensburg;AF;3;Am Bundesbahnhof 5;24937;Flensburg;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;ja;ja;54.7740145403489;9.43680932950696
Hamburg;Hamburg;3229;Klein Flottbek;AFB;4;Jürgensallee 66;22609;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5581550523931;9.86090435701257
Hamburg;Hamburg;1941;Friedrichsberg;AFBG;4;Krausestr. 118;22049;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5764732500098;10.0574109149147
Schleswig-Holstein;Schleswig-Holstein;1953;Friedrichstadt;AFD;5;Bahnhofstr. 1 ;25840;Friedrichstadt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3781964235849;9.07901823520661
Schleswig-Holstein;Schleswig-Holstein;8009;Felde;AFEB;6;Dorfstr. 1;24242;Felde;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3098394559284;9.94776248931885
Hamburg;Hamburg;8112;Fischbek;AFIB;6;Ohrnsweg 24;21149;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.4747588082275;9.81944752805815
Schleswig-Holstein;Schleswig-Holstein;1747;Fahrenkrug;AFK;7;Wahlstedter Str.1a;23795;Fahrenkrug;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.9439817967534;10.253190414234
Schleswig-Holstein;Schleswig-Holstein;1918;Fresenburg;AFN;7;Schadehorn 1;23843;Bad Oldesloe;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.8421501486337;10.3907865633107
Schleswig-Holstein;Schleswig-Holstein;1950;Friedrichsruh;AFRD;7;L208 12 ;21521;Aumühle;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.5280696165487;10.3406953811645
Schleswig-Holstein;Schleswig-Holstein;1813;Flintbek;AFT;6;Kätnerskamp 1-3;24220;Flintbek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;VRK;nein;ja;54.2430636051393;10.0626424786401
Schleswig-Holstein;Schleswig-Holstein;2012;Garding;AGD;7;Bahnhofstr. 11;25836;Garding;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3270649994553;8.78427014901088
Schleswig-Holstein;Schleswig-Holstein;2112;Gettorf;AGF;6;Am Bahnhof;24214;Gettorf;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.4097990634387;9.97893290949719
Niedersachsen;Hamburg;2164;Göhrde;AGH;7;An der Kreisstraße / OT Göhrde;29473;Nahrendorf;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.1677533898056;10.851114988327
Schleswig-Holstein;Schleswig-Holstein;2168;Gokels;AGK;7;Am Bahnhof 1;25557;Gokels;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.1187336709973;9.46991586166879
Schleswig-Holstein;Schleswig-Holstein;7678;Großenbrode;AGRO;7;Am Fliederhof 1;23775;Großenbrode;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;54.3661521373131;11.0805237293243
Schleswig-Holstein;Schleswig-Holstein;2151;Glückstadt;AGST;5;Bahnhofstr. 1-3;25348;Glückstadt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;53.7884143687284;9.42875576424531
Hamburg;Hamburg;2514;Hamburg Hbf;AH;1;Hachmannplatz 16;20099;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.5526795467633;10.006972665682
Schleswig-Holstein;Schleswig-Holstein;2554;Harblek;AHA;7;Harblek 10;25870; Oldenswort/ OT Harblek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3617423636327;8.96230253454747
Hamburg;Hamburg;2533;Hammerbrook;AHAB;4;Hammerbrookstraße 60;20097;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5467181909367;10.0235483050347
Schleswig-Holstein;Schleswig-Holstein;2453;Haffkrug;AHAF;6;Bahnhofstr.48;23683;Scharbeutz;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;ja;ja;54.0541399008066;10.7426332486303
Niedersachsen;Bremen Hbf;2529;Hammah;AHAM;6;Bahnhofstr. 4;21714;Hammah;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.6123974505601;9.36748623847961
Niedersachsen;Bremen Hbf;2541;Handeloh;AHAN;6;Bahnhofstr. 1;21256;Handeloh;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.2419651770526;9.84476866950077
Hamburg;Hamburg;2519;Hamburg-Harburg;AHAR;2;Hannoversche Str. 85;21079;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;ja;ja;53.455310807152;9.99203324317933
Hamburg;Hamburg;2843;Hoheneichen;AHCH;4;Langwisch 15;22391;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.6355283124124;10.0677359104156
Niedersachsen;Bremen Hbf;2683;Hemmoor;AHEM;6;An der Bahn 4;21745;Hemmoor;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.6839442120615;9.16592717170715
Niedersachsen;Bremen Hbf;2615;Hechthausen;AHEN;6;Raifeisenstr. 1;21755;Hechthausen;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.6386224661144;9.22823428389537
Niedersachsen;Bremen Hbf;2875;Holm-Seppensen;AHES;6;Bahnhofsweg 1;21244;Buchholz i.d. Nordheide;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.2844859762389;9.86990110865008
Hamburg;Hamburg;2662;Heimfeld;AHFS;4;Heimfelder Str. 2;21075;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.4654322820501;9.96313612460653
Schleswig-Holstein;Schleswig-Holstein;2625;Heide (Holst);AHI;3;Güterstraße 13;25746;Heide;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;ja;ja;54.1932212856565;9.10114288330078
Niedersachsen;Bremen Hbf;2795;Hittfeld;AHIF;6;Gustav-Becker-Str. 9;21218;Seevetal-Hittfeld;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.4035834103081;9.97440256570515
Schleswig-Holstein;Hamburg;2509;Halstenbek;AHKS;4;Bahnhofsstr. 32;25469;Halstenbek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.6303763743681;9.83908295631409
Schleswig-Holstein;Schleswig-Holstein;2953;Husum;AHM;3;Poggenburgstr. 12;25813;Husum;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;ja;ja;54.4720181636753;9.05613720417023
Schleswig-Holstein;Schleswig-Holstein;2449;Hademarschen;AHNU;7;Bismarckstr. 8;25557;Hanerau-Hademarschen;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.122765390529;9.41514015197755
Niedersachsen;Hamburg;2915;Horneburg;AHOG;5;Bahnhofstr. 1;21640;Horneburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.5082904045094;9.57695245742798
Schleswig-Holstein;Schleswig-Holstein;7249;Horst (Holst);AHOT;6;Horstheider Weg 149;25358;Horst;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.8045000205724;9.64516997337341
Niedersachsen;Bremen Hbf;2773;Himmelpforten;AHPF;6;Am Bahnhof 1;21709;Himmelpforten;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.6230959766708;9.31146362702625
Hamburg;Hamburg;2803;Hochkamp;AHPS;4;Reichskanzlerstr. 1;22609;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5612622751788;9.84222650527954
Hamburg;Hamburg;2556;Harburg Rathaus;AHRF;3;Harburger Ring 20;21079;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.4606895675316;9.98039245605469
Hamburg;Hamburg;2581;Hasselbrook;AHSF;4;Hammer-Steindamm 58;22058;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5647165769856;10.0560799241066
Hamburg;Hamburg;2515;Holstenstraße;AHST;4;Stresemannstr. 156;22765;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.561864475073;9.94909822940826
Schleswig-Holstein;Schleswig-Holstein;2864;Hohenwestedt;AHWT;6;Am Bahnhof 1;24594;Hohenwestedt;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.0865474443917;9.65416967868804
Niedersachsen;Hamburg;2796;Hitzacker;AHZ;7;Am Bahnhof 1;29456;Hitzacker;Landesnahverkehrsgesellschaft Niedersachsen mbH;0;nein;ja;53.1391722997002;11.0384094715119
Schleswig-Holstein;Schleswig-Holstein;7248;Herzhorn;AHZH;6;Am Deich;25379;Herzhorn;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;53.783479856865;9.48373317718506
Hamburg;Hamburg;3005;Iserbrook;AIS;6;Hasenhöhe 162;22589;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5764803273293;9.81431007385254
Schleswig-Holstein;Schleswig-Holstein;3016;Itzehoe;AIZ;3;Bahnhofstr. 32;25524;Itzehoe;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;ja;ja;53.9241589404442;9.51008485760232
Schleswig-Holstein;Schleswig-Holstein;3064;Jübek;AJ;6; Bahnhofstraße 2;24855;Jübek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.5589078373307;9.4051694869995
Schleswig-Holstein;Schleswig-Holstein;3036;Jarrenwisch;AJHH;7;Jarrenwisch 1;25764;Oesterwurth/OTJarrenwisch;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.2120986499075;8.96314537525184
Hamburg;Hamburg;3068;Jungfernstieg;AJUS;4;Jungfernstieg 12;20095;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5522154181984;9.99380264156743
Schleswig-Holstein;Schleswig-Holstein;3174;Kiel Hbf;AK;2;Sophienblatt 25-27;24114;Kiel;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;VRK;ja;ja;54.3138684429718;10.1312506198883
Schleswig-Holstein;Schleswig-Holstein;3130;Katharinenheerd;AKAD;7;Bahnhofstr. 2a;25836;Katharinenheerd;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3341725986513;8.83050513250054
Niedersachsen;Bremen Hbf;3224;Klecken;AKC;6;Bahnhofstraße 1;21224;Rosengarten;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;nein;ja;53.366212050136;9.92890741874808
Schleswig-Holstein;Schleswig-Holstein;7252;Kiel-Elmschenhagen;AKE;6;Elmschenhagener Allee 10;24146;Kiel;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;54.2870803737293;10.1804548501969
Schleswig-Holstein;Schleswig-Holstein;8156;Kiel-Hassee CITTIPARK;AKH;6;Altenrade;24113;Kiel-Hassee;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;VRK;nein;ja;54.3106926084801;10.0985296708063
Schleswig-Holstein;Schleswig-Holstein;7255;Kremperheide;AKHD;6;Bockwischer Weg;25569;Krempermoor;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;53.8812062932582;9.48022842407227
Schleswig-Holstein;Schleswig-Holstein;3150;Keitum;AKI;4;Bahnhofstr. 37;25980;Sylt/ OT Keitum;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.8888309014475;8.3688747882843
Schleswig-Holstein;Schleswig-Holstein;3410;Krempe;AKM;6;Bahnhofstr. 118;25361;Krempe;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;53.8347015483417;9.48201656341553
Schleswig-Holstein;Schleswig-Holstein;7257;Kronshagen;AKRH;6;Bahnhofsweg 5;24119;Kronshagen;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;nein;54.3310620233927;10.0832926979188
Schleswig-Holstein;Hamburg;3443;Krupunder;AKRS;4;Seestr. 163;25469;Halstenbek;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;HVV;nein;ja;53.6155797432628;9.86803519098382
Schleswig-Holstein;Schleswig-Holstein;7277;Kiel-Russee;AKRU;7;Köpenicker Straße 49;24111;Kiel;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;nein;54.3100176694926;10.0702548027039
Hamburg;Hamburg;3357;Königstraße;AKS;4;Königstr. 20;22767;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5478158870179;9.94415891797918
Schleswig-Holstein;Schleswig-Holstein;3131;Kating;AKTO;7;Hochbohmer Chaussee 5;25832;Tönning/ OT Kating;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.3260947711892;8.87193112134049
Schleswig-Holstein;Schleswig-Holstein;3465;Kupfermühle;AKUP;6;In de Butz 1;22967;Tremsbüttel;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.7622599486426;10.3265082836151
Hamburg;Hamburg;3378;Kornweg (Klein Borstel);AKWS;6;Tornberg 33;22337;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.6324237305505;10.0541071377604
Schleswig-Holstein;Schleswig-Holstein;3218;Klanxbüll;AKX;5;Bahnhofstr. 3;25924;Klanxbüll;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;0;nein;ja;54.8620611007138;8.67647409439087
Schleswig-Holstein;Schleswig-Holstein;3807;Lübeck Hbf;AL;2;Am Bahnhof 6;23558;Lübeck;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;ja;ja;53.8674846700379;10.66969871521
Hamburg;Hamburg;3518;Landwehr;ALAN;4;Hasselbrookstr. 4;22087;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5612609894927;10.0381501097428
Hamburg;Hamburg;3517;Landungsbrücken;ALAS;4;Helgoländer Allee;20459;Hamburg;Hamburger Verkehrsverbund GmbH;HVV;nein;ja;53.5462257408139;9.97113704681396
Schleswig-Holstein;Schleswig-Holstein;3581;Lauenburg (Elbe);ALAU;6;Alter Bahnhof 1;21481;Lauenburg/Elbe;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;SH-Tarif;nein;ja;53.3696832902346;10.5681824684143
Schleswig-Holstein;Schleswig-Holstein;3808;Lübeck-Flughafen;ALB;6;Wulfsdorfer Weg 1;23562;Lübeck;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;ja;53.8041035532741;10.6974167809912
Niedersachsen;Hamburg;3855;Lüneburg;ALBG;2;Bahnhofstr. 10;21337;Lüneburg;Landesnahverkehrsgesellschaft Niedersachsen mbH;HVV;ja;ja;53.2497227851439;10.4195071680017
Schleswig-Holstein;Schleswig-Holstein;8300;Lübeck Dänischburg IKEA;ALD;5;;;;LVS Schleswig-Holstein Landesweite Verkehrsservicegesellschaft mbH;;nein;nein;53.9110165320888;10.7340721289316
