BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1487786;Marburg Süd                                       ;50.794604450270 8.762447516764;50.794604450270;8.762447516764
SNode-1487787;Niederweimar                                      ;50.756711929173 8.733686950441;50.756711929173;8.733686950441
SNode-1487788;Niederwalgern                                     ;50.736506582116 8.708533178299;50.736506582116;8.708533178299
SNode-1487789;Fronhausen (Lahn)                                 ;50.706260540027 8.699161208568;50.706260540027;8.699161208568
SNode-1487790;Friedelhausen                                     ;50.671619751359 8.710938523795;50.671619751359;8.710938523795
SNode-1487791;Lollar                                            ;50.647934779758 8.701581968262;50.647934779758;8.701581968262
SNode-1487792;Gießen Oswaldsgarten                              ;50.588563012019 8.669230964212;50.588563012019;8.669230964212
SNode-1487793;Gießen                                            ;50.579848368490 8.662107820233;50.579848368490;8.662107820233
SNode-1487794;Gießen-Bergwald                                   ;50.558414884027 8.653915218186;50.558414884027;8.653915218186
SNode-1487795;Großen Linden                                     ;50.528366192541 8.662024899138;50.528366192541;8.662024899138
SNode-1487796;Lang Göns                                         ;50.497488404348 8.667003224747;50.497488404348;8.667003224747
SNode-1487797;Kirch Göns                                        ;50.473492008488 8.666796846608;50.473492008488;8.666796846608
SNode-1487798;Butzbach                                          ;50.431135330726 8.669577057941;50.431135330726;8.669577057941
SNode-1487799;Ostheim (b Butzbach)                              ;50.406582550205 8.675172686158;50.406582550205;8.675172686158
SNode-1487800;Bad Nauheim                                       ;50.367907884544 8.749076865721;50.367907884544;8.749076865721
SNode-1487801;Friedberg (Hess)                                  ;50.332767694309 8.760897041464;50.332767694309;8.760897041464
SNode-1487802;Bruchenbrücken                                    ;50.302135635014 8.788487988529;50.302135635014;8.788487988529
SNode-1487803;Nieder Wöllstadt                                  ;50.280181491721 8.767382737131;50.280181491721;8.767382737131
SNode-1487804;Okarben                                           ;50.252048119820 8.753089450192;50.252048119820;8.753089450192
SNode-1487805;Groß Karben                                       ;50.233364278804 8.753314419618;50.233364278804;8.753314419618
SNode-1487806;Dortelweil                                        ;50.207482934497 8.751120562899;50.207482934497;8.751120562899
SNode-1487807;Bad Vilbel                                        ;50.188697615535 8.739459503140;50.188697615535;8.739459503140
SNode-1487808;Bad Vilbel Süd                                    ;50.178687689610 8.733462376584;50.178687689610;8.733462376584
SNode-1487809;Frankfurt-Berkersheim                             ;50.176613885343 8.698037535179;50.176613885343;8.698037535179
SNode-1487810;Frankfurt-Frankfurter Berg                        ;50.170239628629 8.676172844636;50.170239628629;8.676172844636
SNode-1487811;Frankfurt-Eschersheim                             ;50.158055738829 8.655003077565;50.158055738829;8.655003077565
SNode-1487812;Frankfurt-Ginnheim                                ;50.145239059490 8.644330878119;50.145239059490;8.644330878119
SNode-1487813;Frankfurt (Main) West                             ;50.119152456289 8.639280093117;50.119152456289;8.639280093117
SNode-1487814;Frankfurt (Main) Galluswarte                      ;50.104746172124 8.643941028619;50.104746172124;8.643941028619
SNode-1487815;Kassel-Wilhelmshöhe                               ;51.313063334374 9.447133168219;51.313063334374;9.447133168219
SNode-1487816;Kassel-Niederzwehren                              ;51.294076139850 9.475151203383;51.294076139850;9.475151203383
SNode-1487817;Kassel-Bettenhausen                               ;51.307343811505 9.521250666773;51.307343811505;9.521250666773
SNode-1487818;Papierfabrik                                      ;51.290040112288 9.566884035319;51.290040112288;9.566884035319
SNode-1487819;Ehringen                                          ;51.379644817966 9.154746521542;51.379644817966;9.154746521542
SNode-1487820;Wolfhagen                                         ;51.331613213022 9.178300589998;51.331613213022;9.178300589998
SNode-1487821;Oberelsungen                                      ;51.376785158316 9.251662398986;51.376785158316;9.251662398986
SNode-1487822;Zierenberg-Rosental                               ;51.367751773939 9.291319879508;51.367751773939;9.291319879508
SNode-1487823;Zierenberg                                        ;51.365284686204 9.304109167548;51.365284686204;9.304109167548
SNode-1487824;Fürstenwald                                       ;51.380343237093 9.359417061663;51.380343237093;9.359417061663
SNode-1487825;Ahnatal-Weimar                                    ;51.363640954702 9.391669327939;51.363640954702;9.391669327939
